node,degree,wdegree,pagerank,is_oncokb,betweenness,closeness,clustering,degree_rank,wdegree_rank,pagerank_rank,betweenness_rank,closeness_rank,clustering_rank,is_cosmic,is_tcga
TP53,75,64.383,0.0012007633333740912,True,0.0,0.0,0.003963963963963964,1.0,1.0,1.0,1.0,1.0,2260.0,False,False
H3C13,54,48.028999999999996,0.0007693733120745101,True,0.0,0.0,0.012578616352201259,2.0,2.0,3.0,1.0,1.0,2174.0,False,False
RPS27A,53,47.464,0.0006878215202915745,False,0.0,0.0,0.006531204644412192,3.0,3.0,7.0,1.0,1.0,2244.0,False,False
UBA52,50,44.056,0.0006322402517169941,False,0.0,0.0,0.011428571428571429,4.0,4.0,13.0,1.0,1.0,2176.0,False,False
CTNNB1,46,39.8,0.000892228291719667,True,0.0,0.0,0.002898550724637681,5.0,8.0,2.0,1.0,1.0,2269.0,False,False
RPS18,45,41.356,0.00042144236645091574,False,0.0,0.0,0.03535353535353535,6.0,5.0,64.0,1.0,1.0,1734.0,False,False
RPS3,45,40.162,0.000467049761143843,False,0.0,0.0,0.01717171717171717,6.0,7.0,46.0,1.0,1.0,2080.0,False,False
RPS28,44,40.974,0.0003974691373560131,False,0.0,0.0,0.042283298097251586,8.0,6.0,71.0,1.0,1.0,1548.0,False,False
RPS13,43,39.378,0.00038877258332381217,False,0.0,0.0,0.031007751937984496,9.0,9.0,76.0,1.0,1.0,1778.0,False,False
RPS16,43,38.923,0.00038616238551508574,False,0.0,0.0,0.03765227021040975,9.0,10.0,80.0,1.0,1.0,1595.0,False,False
MED1,43,37.743,0.00045831699745103286,False,0.0,0.0,0.02547065337763012,9.0,11.0,50.0,1.0,1.0,1932.0,False,False
EP300,42,37.096000000000004,0.0007047694999954019,True,0.0,0.0,0.008130081300813009,12.0,12.0,5.0,1.0,1.0,2225.0,False,False
H3C12,41,35.781,0.0006381201252343249,True,0.0,0.0,0.0024390243902439024,13.0,15.0,12.0,1.0,1.0,2271.0,False,False
SRC,40,34.871,0.0007249287278384914,True,0.0,0.0,0.010256410256410256,14.0,18.0,4.0,1.0,1.0,2193.0,False,False
FAU,39,36.122,0.000481232713827583,False,0.0,0.0,0.014844804318488529,15.0,13.0,40.0,1.0,1.0,2127.0,False,False
ACTB,39,33.668,0.0006743632925782357,True,0.0,0.0,0.005398110661268556,15.0,22.0,8.0,1.0,1.0,2254.0,False,False
RPL10,39,34.711,0.0003213779169461872,True,0.0,0.0,0.06612685560053981,15.0,19.0,152.0,1.0,1.0,1153.0,False,False
RPL23A,39,36.025999999999996,0.0003491037238949046,False,0.0,0.0,0.03508771929824561,15.0,14.0,117.0,1.0,1.0,1735.0,False,False
H4C6,39,35.052,0.0005681022934133807,True,0.0,0.0,0.020242914979757085,15.0,17.0,20.0,1.0,1.0,2020.0,False,False
RPL4,38,33.867,0.0003616171926882432,False,0.0,0.0,0.025604551920341393,20.0,21.0,100.0,1.0,1.0,1931.0,False,False
